Kecamatan,Nama Toko,Alamat,Rating
"Kepulauan Seribu Selatan, Kepulauan Seribu",TOKO Tanjung Jaya Bangunan,"Jl. HOS Cokroaminoto No.4, RT.003/RW.004, Larangan Utara, Kec. Larangan, Kota Tangerang, Banten 15154, Indonesia",4.9
"Kepulauan Seribu Selatan, Kepulauan Seribu",Toko Bangunan Hari Hari Mandala,"Jl. Mandala Utara No.21, RT.17/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",4.5
"Kepulauan Seribu Selatan, Kepulauan Seribu","Toko Bangunan Cahaya Bangun Mandiri - Tn Abang - (Besi, Kayu, Gypsum, Semen dan Bahan Bangunan)","Jl. K.H. Mas Mansyur No.53, Kb. Melati, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10230, Indonesia",4.7
"Kepulauan Seribu Selatan, Kepulauan Seribu",Toko Material PD MAKMUR PERCETAKAN NEGARA,"Jl. Percetakan Negara No.1A, RT.1/RW.5, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570, Indonesia",4.5
"Kepulauan Seribu Selatan, Kepulauan Seribu",Toko Cat & Bangunan : MAKMUR BANGUNAN Percetakan Negara,"Jl. Percetakan Negara No.66D, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560, Indonesia",4.8
"Kepulauan Seribu Selatan, Kepulauan Seribu",TB. Berkah Jaya,"Jl. Tomang Asli No.3 7, RT.7/RW.2, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",4.5
"Kepulauan Seribu Selatan, Kepulauan Seribu",Toko Sumber Prihatin,"RR74+R92, Jl. Kota Bambu Raya, RT.8/RW.4, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",4.5
"Kepulauan Seribu Selatan, Kepulauan Seribu",Seng Yun Toko Material,"No Jl. Cikoko Barat 1 No.1 9, RT.9/RW.3, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770, Indonesia",4.1
"Kepulauan Seribu Utara, Kepulauan Seribu",Toko Matrial Darma,"RT.008/RW.002, Pulau Klp., Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14540, Indonesia",0.0
"Kepulauan Seribu Utara, Kepulauan Seribu",Batako Pak Sape'i,"8HWC+Q52, Kelapa Island, North Kepulauan Seribu, Kepulauan Seribu Regency, Jakarta 14540, Indonesia",0.0
