Kecamatan,Nama Toko,Alamat,Rating
"Cilincing, Jakarta Utara",Toko Sinar Baru,"Jl. Cilincing Baru No.1, RT.6/RW.1, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14130, Indonesia",4.3
"Cilincing, Jakarta Utara",Toko Bangunan Ekhwan,"Jl. Kali Baru Barat IIA No.1, RT.1/RW.8, Kali Baru, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14110, Indonesia",4.6
"Cilincing, Jakarta Utara",TB. Rajawali Cilincing,"Jl. Raya Cilincing, RT.1/RW.9, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Indonesia",0.0
"Cilincing, Jakarta Utara",Toko Bangunan Mutiara Jaya,"Perum Sukapura, Jalan Manunggal Juang 2 Gang Proyek No.63, Cilincing, RT.1/RW.5, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Indonesia",4.2
"Cilincing, Jakarta Utara",Toko Bangun Indah,"Jl. Cilincing Lama No. 11 RT 003%2F04 Cilincing Cilincing Jakarta Utara DKI Jakarta, RT.3/RW.4, Cilincing, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14120, Indonesia",4.5
"Cilincing, Jakarta Utara",TB. Nusantara,"Jl. Malaka No.99, RT.16/RW.5, Rorotan, Kec. Cilincing, Jkt Utara, Daerah Khusus Ibukota Jakarta 14140, Indonesia",4.5
"Kelapa Gading, Jakarta Utara",TOKO BUDY JAYA (Dulux Nippon Kansai Toa Aquaproof Avian Mowilex Propan Sanlex) Toko Cat Kelapa Gading,"Komplek Kelapa Gading Permai Blok QA, No. 18-19, Jl. Boulevard Raya No.1, RT.1/RW.6, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.9
"Kelapa Gading, Jakarta Utara",Toko Bangunan Gading Mulia - Kelapa Gading,"Jl. Bangun Cipta Sarana No.7, Kelapa Gading, Jakarta Utara 14250, RT.4/RW.5, Pegangsaan Dua, Kec. Klp. Gading, Kelapa Gading, Daerah Khusus Ibukota Jakarta 14250, Indonesia",4.9
"Kelapa Gading, Jakarta Utara",TB SIN SIN,"Jl. Raya Klp. Gading Permai, Klp. Gading Tim., Jakarta, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.3
"Kelapa Gading, Jakarta Utara",TB. Borobudur,"JL. Gading Kirana, Blok A 13/23, Kelapa Gading, Jakarta, RT.18/RW.8, West Kelapa Gading, Kelapa Gading, North Jakarta City, Jakarta 14240, Indonesia",4.4
"Kelapa Gading, Jakarta Utara",Toko Cat Gading Sakti,"Jl. Boulevard Raya QA-3 No. 7-8, RT.1/RW.6, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.5
"Kelapa Gading, Jakarta Utara",TB Prima,"Jalan Terusan Boulevard Timur Raya Nomor 1 Pegangsaan Dua Kelapa Gading, RT.5/RW.2, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia",4.5
"Kelapa Gading, Jakarta Utara",Toko keramik Aneka Sarana Graha - Sanitary Kelapa Gading Jakarta,"Jalan Raya Kelapa Gading Permai blok DD3, Jl. Kelapa Sawit Raya Blok Dd No.3, RT.5/RW.17, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.6
"Kelapa Gading, Jakarta Utara",Sempurna Baru,"Jl. Raya Gading Kirana No.8 Blok O, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",4.5
"Koja, Jakarta Utara",Toko Bangunan TB. Bambang Putra,"Jl. Plumpang Semper No.12, RT.1/RW.4, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230, Indonesia",4.5
"Koja, Jakarta Utara",TB. Fajar Makmur,"Jl. Perjuangan No.30, RT.2/RW.007, Tugu Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260, Indonesia",4.5
